제목,편수,본문_번체,본문_간체,시체,길이(자수)
遊龍門奉先寺 ,제1수,已從招提遊,已从招提游,5언율시,5
遊龍門奉先寺 ,제1수,更宿招提境,更宿招提境,5언율시,5
遊龍門奉先寺 ,제1수,陰壑生虛籟,阴壑生虚籁,5언율시,5
遊龍門奉先寺 ,제1수,月林散淸影,月林散淸影,5언율시,5
遊龍門奉先寺 ,제1수,天闕象緯逼,天阙象纬逼,5언율시,5
遊龍門奉先寺 ,제1수,雲臥衣裳冷,云卧衣裳冷,5언율시,5
遊龍門奉先寺 ,제1수,欲覺聞晨鐘,欲觉闻晨鐘,5언율시,5
遊龍門奉先寺 ,제1수,令人發深省,令人发深省,5언율시,5
望嶽 ,제1수,岱宗夫如何,岱宗夫如何,5언율시,5
望嶽 ,제1수,齊魯靑未了,齐魯靑未了,5언율시,5
望嶽 ,제1수,造化鍾神秀,造化锺神秀,5언율시,5
望嶽 ,제1수,陰陽割昏曉,阴阳割昏晓,5언율시,5
望嶽 ,제1수,盪胸生曾雲,盪胸生曾云,5언율시,5
望嶽 ,제1수,決眥入歸鳥,决眦入归鸟,5언율시,5
望嶽 ,제1수,會當凌絶頂,会当凌絶顶,5언율시,5
望嶽 ,제1수,一覽衆山小,一览衆山小,5언율시,5
登兗州城樓 ,제1수,東郡趨庭日,东郡趋庭日,5언율시,5
登兗州城樓 ,제1수,南樓縱目初,南樓纵目初,5언율시,5
登兗州城樓 ,제1수,浮雲連海岱,浮云连海岱,5언율시,5
登兗州城樓 ,제1수,平野入靑徐,平野入靑徐,5언율시,5
登兗州城樓 ,제1수,孤嶂秦碑在,孤嶂秦碑在,5언율시,5
登兗州城樓 ,제1수,荒城魯殿餘,荒城魯殿馀,5언율시,5
登兗州城樓 ,제1수,從來多古意,从來多古意,5언율시,5
登兗州城樓 ,제1수,臨眺獨躊躇,临眺独踌躇,5언율시,5
題張氏隱居 二首 ,제1수,春山無伴獨相求,春山无伴独相求,7언율시,7
題張氏隱居 二首 ,제1수,代木丁丁山更幽,代木丁丁山更幽,7언율시,7
題張氏隱居 二首 ,제1수,澗道餘寒歷冰雪,涧道馀寒歷冰雪,7언율시,7
題張氏隱居 二首 ,제1수,石門斜日到林丘,石门斜日到林丘,7언율시,7
題張氏隱居 二首 ,제1수,不貪夜識金銀氣,不贪夜识金银气,7언율시,7
題張氏隱居 二首 ,제1수,遠害朝看麋鹿遊,远害朝看麋鹿游,7언율시,7
題張氏隱居 二首 ,제1수,乘興杳然迷出處,乘兴杳然迷出处,7언율시,7
題張氏隱居 二首 ,제1수,對君疑是泛虛舟,对君疑是泛虚舟,7언율시,7
題張氏隱居 二首 ,제2수,之子時相見,之子时相见,5언율시,5
題張氏隱居 二首 ,제2수,邀人晩興留,邀人晩兴留,5언율시,5
題張氏隱居 二首 ,제2수,霽潭鱣發發,霁潭鳣发发,5언율시,5
題張氏隱居 二首 ,제2수,春草鹿呦呦,春草鹿呦呦,5언율시,5
題張氏隱居 二首 ,제2수,杜酒偏勞勸,杜酒偏勞劝,5언율시,5
題張氏隱居 二首 ,제2수,張梨不外求,张梨不外求,5언율시,5
題張氏隱居 二首 ,제2수,前邨山路險,前邨山路险,5언율시,5
題張氏隱居 二首 ,제2수,歸醉每無愁,归醉每无愁,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,秋水淸無底,秋水淸无底,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,蕭然淨客心,萧然净客心,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,掾曹乘逸興,掾曹乘逸兴,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,鞍馬到荒林,鞍马到荒林,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,能吏逢聯璧,能吏逢联璧,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,華筵直一金,华筵直一金,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,晩來橫吹好,晩來横吹好,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,泓下亦龍吟,泓下亦龙吟,5언율시,5
與任城許主簿遊南池 ,제1수,秋水通溝洫,秋水通沟洫,5언율시,5
與任城許主簿遊南池 ,제1수,城隅進小船,城隅进小船,5언율시,5
與任城許主簿遊南池 ,제1수,晩涼看洗馬,晩凉看洗马,5언율시,5
與任城許主簿遊南池 ,제1수,森木亂鳴蟬,森木亂鸣蝉,5언율시,5
與任城許主簿遊南池 ,제1수,菱熟經時雨,菱熟经时雨,5언율시,5
與任城許主簿遊南池 ,제1수,蒲荒八月天,蒲荒八月天,5언율시,5
與任城許主簿遊南池 ,제1수,晨朝降白露,晨朝降白露,5언율시,5
與任城許主簿遊南池 ,제1수,遙憶舊靑氈,遥忆旧靑毡,5언율시,5
對雨書懷走滸許主簿 ,제1수,東嶽雲峰起,东岳云峰起,5언율시,5
對雨書懷走滸許主簿 ,제1수,溶溶滿太虛,溶溶满太虚,5언율시,5
對雨書懷走滸許主簿 ,제1수,震雷翻幕燕,震雷翻幕燕,5언율시,5
對雨書懷走滸許主簿 ,제1수,驟雨落河魚,骤雨落河鱼,5언율시,5
對雨書懷走滸許主簿 ,제1수,座對賢人酒,座对贤人酒,5언율시,5
對雨書懷走滸許主簿 ,제1수,門聽長者車,门听长者車,5언율시,5
對雨書懷走滸許主簿 ,제1수,相邀愧泥濘,相邀愧泥泞,5언율시,5
對雨書懷走滸許主簿 ,제1수,騎馬到堦除,骑马到堦除,5언율시,5
巳上人茅齋 ,제1수,巳公茅屋下,巳公茅屋下,5언율시,5
巳上人茅齋 ,제1수,可以賦新詩,可以赋新诗,5언율시,5
巳上人茅齋 ,제1수,枕簟入林僻,枕簟入林僻,5언율시,5
巳上人茅齋 ,제1수,茶瓜留客遲,茶瓜留客迟,5언율시,5
巳上人茅齋 ,제1수,江蓮搖白羽,江莲摇白羽,5언율시,5
巳上人茅齋 ,제1수,天棘蔓靑絲,天棘蔓靑丝,5언율시,5
巳上人茅齋 ,제1수,空忝許詢輩,空忝许询辈,5언율시,5
巳上人茅齋 ,제1수,難酬支遁詞,难酬支遁词,5언율시,5
房兵曹胡馬 ,제1수,胡馬大宛名,胡马大宛名,5언율시,5
房兵曹胡馬 ,제1수,鋒稜瘦骨成,锋稜瘦骨成,5언율시,5
房兵曹胡馬 ,제1수,竹批雙耳峻,竹批双耳峻,5언율시,5
房兵曹胡馬 ,제1수,風入四蹄輕,风入四蹄轻,5언율시,5
房兵曹胡馬 ,제1수,所向無空濶,所向无空濶,5언율시,5
房兵曹胡馬 ,제1수,眞堪託死生,眞堪託死生,5언율시,5
房兵曹胡馬 ,제1수,驍騰有如此,骁腾有如此,5언율시,5
房兵曹胡馬 ,제1수,萬里可橫行,万里可横行,5언율시,5
畫鷹 ,제1수,素練風霜起,素练风霜起,5언율시,5
畫鷹 ,제1수,蒼鷹畫作殊,苍鹰画作殊,5언율시,5
畫鷹 ,제1수,㩳身寸狡免,㩳身寸狡免,5언율시,5
畫鷹 ,제1수,側目似愁胡,侧目似愁胡,5언율시,5
畫鷹 ,제1수,絛鏇光堪摘,绦镟光堪摘,5언율시,5
畫鷹 ,제1수,軒楹勢可呼,轩楹势可唿,5언율시,5
畫鷹 ,제1수,何當擊凡鳥,何当击凡鸟,5언율시,5
畫鷹 ,제1수,毛血灑平蕪,毛血洒平芜,5언율시,5
過宋員外之問舊莊 [員外季弟執金吾 見知於時 故有下句] ,제1수,宋公舊池館,宋公旧池馆,5언율시,5
過宋員外之問舊莊 [員外季弟執金吾 見知於時 故有下句] ,제1수,零落首陽阿,零落首阳阿,5언율시,5
過宋員外之問舊莊 [員外季弟執金吾 見知於時 故有下句] ,제1수,枉道秪從入,枉道秪从入,5언율시,5
過宋員外之問舊莊 [員外季弟執金吾 見知於時 故有下句] ,제1수,吟詩許更過,吟诗许更过,5언율시,5
過宋員外之問舊莊 [員外季弟執金吾 見知於時 故有下句] ,제1수,淹留問耆老,淹留问耆老,5언율시,5
過宋員外之問舊莊 [員外季弟執金吾 見知於時 故有下句] ,제1수,寂寞向山河,寂寞向山河,5언율시,5
過宋員外之問舊莊 [員外季弟執金吾 見知於時 故有下句] ,제1수,更識將軍樹,更识将军树,5언율시,5
過宋員外之問舊莊 [員外季弟執金吾 見知於時 故有下句] ,제1수,悲風日暮多,悲风日暮多,5언율시,5
夜宴左氏莊 ,제1수,風林纖月落,风林纤月落,5언율시,5
夜宴左氏莊 ,제1수,衣露淨琴張,衣露净琴张,5언율시,5
夜宴左氏莊 ,제1수,暗水流花徑,暗水流花径,5언율시,5
夜宴左氏莊 ,제1수,春星帶草堂,春星带草堂,5언율시,5
夜宴左氏莊 ,제1수,檢書燒燭短,检书烧烛短,5언율시,5
夜宴左氏莊 ,제1수,看劍引杯長,看剑引杯长,5언율시,5
夜宴左氏莊 ,제1수,詩罷聞吳詠,诗罢闻吴咏,5언율시,5
夜宴左氏莊 ,제1수,扁舟意不忘,扁舟意不忘,5언율시,5
因寄此詩 用寬其意 ,제1수,二儀積風雨,二仪积风雨,5언장편,5
因寄此詩 用寬其意 ,제1수,百谷漏波濤,百谷漏波涛,5언장편,5
因寄此詩 用寬其意 ,제1수,聞道洪河坼,闻道洪河坼,5언장편,5
因寄此詩 用寬其意 ,제1수,遙連滄海高,遥连沧海高,5언장편,5
因寄此詩 用寬其意 ,제1수,職司憂悄悄,职司忧悄悄,5언장편,5
因寄此詩 用寬其意 ,제1수,郡國訴嗷嗷,郡国诉嗷嗷,5언장편,5
因寄此詩 用寬其意 ,제1수,舍弟卑棲邑,舍弟卑栖邑,5언장편,5
因寄此詩 用寬其意 ,제1수,防川領薄曹,防川领薄曹,5언장편,5
因寄此詩 用寬其意 ,제1수,難假黿鼉力,难假鼋鼍力,5언장편,5
因寄此詩 用寬其意 ,제1수,空瞻烏鵲毛,空瞻乌鹊毛,5언장편,5
因寄此詩 用寬其意 ,제1수,燕南吹畎畝,燕南吹畎亩,5언장편,5
因寄此詩 用寬其意 ,제1수,濟上沒蓬蒿,济上没蓬蒿,5언장편,5
因寄此詩 用寬其意 ,제1수,螺蚌滿近郭,螺蚌满近郭,5언장편,5
因寄此詩 用寬其意 ,제1수,蛟螭乘九皐,蛟螭乘九皐,5언장편,5
因寄此詩 用寬其意 ,제1수,徐關深水府,徐关深水府,5언장편,5
因寄此詩 用寬其意 ,제1수,碣石小秋毫,碣石小秋毫,5언장편,5
因寄此詩 用寬其意 ,제1수,此屋留孤樹,此屋留孤树,5언장편,5
因寄此詩 用寬其意 ,제1수,靑天失萬艘,靑天失万艘,5언장편,5
因寄此詩 用寬其意 ,제1수,吾衰同泛梗,吾衰同泛梗,5언장편,5
因寄此詩 用寬其意 ,제1수,利涉想蟠桃,利涉想蟠桃,5언장편,5
因寄此詩 用寬其意 ,제1수,却倚天涯釣,却倚天涯钓,5언장편,5
因寄此詩 用寬其意 ,제1수,猶能掣巨鼇,犹能掣巨鳌,5언장편,5
而作是詩 ,제1수,一匱功盈尺,一匮功盈尺,5언율시,5
而作是詩 ,제1수,三峯意出羣,叁峯意出羣,5언율시,5
而作是詩 ,제1수,望中疑在野,望中疑在野,5언율시,5
而作是詩 ,제1수,幽處欲生雲,幽处欲生云,5언율시,5
而作是詩 ,제1수,慈竹春陰覆,慈竹春阴覆,5언율시,5
而作是詩 ,제1수,香爐曉勢分,香爐晓势分,5언율시,5
而作是詩 ,제1수,惟南將獻壽,惟南将献寿,5언율시,5
而作是詩 ,제1수,佳氣日氤氳,佳气日氤氲,5언율시,5
龍門 ,제1수,龍門橫野斷,龙门横野断,5언율시,5
龍門 ,제1수,驛樹出城來,驿树出城來,5언율시,5
龍門 ,제1수,氣色皇居近,气色皇居近,5언율시,5
龍門 ,제1수,金銀佛寺開,金银佛寺开,5언율시,5
龍門 ,제1수,往來時屢改,往來时屢改,5언율시,5
龍門 ,제1수,川陸日悠哉,川陆日悠哉,5언율시,5
龍門 ,제1수,相閱征途上,相阅征途上,5언율시,5
龍門 ,제1수,生涯盡幾回,生涯尽几回,5언율시,5
李監宅 二首 ,제1수,尙覺王孫貴,尙觉王孙贵,5언율시,5
李監宅 二首 ,제1수,豪家意頗濃,豪家意颇浓,5언율시,5
李監宅 二首 ,제1수,屛開金孔雀,屛开金孔雀,5언율시,5
李監宅 二首 ,제1수,褥隱繡芙蓉,褥隐绣芙蓉,5언율시,5
李監宅 二首 ,제1수,且食雙魚美,且食双鱼美,5언율시,5
李監宅 二首 ,제1수,誰看異味重,谁看異味重,5언율시,5
李監宅 二首 ,제1수,門闌多喜色,门阑多喜色,5언율시,5
李監宅 二首 ,제1수,女　近乘龍,女　近乘龙,5언율시,5
李監宅 二首 ,제2수,華館春風起,华馆春风起,5언율시,5
李監宅 二首 ,제2수,高城煙霧開,高城烟雾开,5언율시,5
李監宅 二首 ,제2수,雜花分戶映,杂花分户映,5언율시,5
李監宅 二首 ,제2수,嬌燕入簾回,娇燕入帘回,5언율시,5
李監宅 二首 ,제2수,一見能傾座,一见能倾座,5언율시,5
李監宅 二首 ,제2수,虛懷只愛才,虚怀只爱才,5언율시,5
李監宅 二首 ,제2수,鹽車雖絆驥,盐車虽绊骥,5언율시,5
李監宅 二首 ,제2수,名是漢庭來,名是汉庭來,5언율시,5
贈李白 ,제1수,二年客東都,二年客东都,5언장편,5
贈李白 ,제1수,所歷厭機巧,所歷厌机巧,5언장편,5
贈李白 ,제1수,野人對腥羶,野人对腥羶,5언장편,5
贈李白 ,제1수,蔬食常不飽,蔬食常不饱,5언장편,5
贈李白 ,제1수,豈無靑精飯,豈无靑精饭,5언장편,5
贈李白 ,제1수,使我顔色好,使我顔色好,5언장편,5
贈李白 ,제1수,苦乏大藥資,苦乏大药资,5언장편,5
贈李白 ,제1수,山林跡如掃,山林迹如扫,5언장편,5
贈李白 ,제1수,李侯金閨彦,李侯金闺彦,5언장편,5
贈李白 ,제1수,脫身事幽討,脱身事幽讨,5언장편,5
贈李白 ,제1수,亦有梁宋遊,亦有梁宋游,5언장편,5
贈李白 ,제1수,方期拾瑤草,方期拾瑶草,5언장편,5
重題鄭氏東亭 [在新安界] ,제1수,華亭入翠微,华亭入翠微,5언율시,5
重題鄭氏東亭 [在新安界] ,제1수,秋日亂淸暉,秋日亂淸晖,5언율시,5
重題鄭氏東亭 [在新安界] ,제1수,崩石欹山樹,崩石欹山树,5언율시,5
重題鄭氏東亭 [在新安界] ,제1수,淸漣曳水衣,淸涟曳水衣,5언율시,5
重題鄭氏東亭 [在新安界] ,제1수,紫鱗衝岸躍,紫鳞衝岸跃,5언율시,5
重題鄭氏東亭 [在新安界] ,제1수,蒼隼護巢歸,苍隼护巢归,5언율시,5
重題鄭氏東亭 [在新安界] ,제1수,向晩尋征路,向晩寻征路,5언율시,5
重題鄭氏東亭 [在新安界] ,제1수,殘雲傍馬飛,残云傍马飞,5언율시,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,東藩駐皁蓋,东藩驻皁盖,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,北渚凌淸河,北渚凌淸河,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,海右此亭古,海右此亭古,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,濟南名士多,济南名士多,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,雲山已發興,云山已发兴,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,玉珮仍當歌,玉珮仍当歌,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,脩竹不受暑,脩竹不受暑,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,交流空湧波,交流空涌波,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,蘊眞愜所遇,蕴眞惬所遇,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,落日將如何,落日将如何,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,貴賤俱物役,贵贱俱物役,5언장편,5
陪李北海宴歷下亭 [時邑人蹇處士輩在坐] ,제1수,從公難重過,从公难重过,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,新亭結構罷,新亭结构罢,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,隱見淸湖陰,隐见淸湖阴,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,跡籍臺觀舊,迹籍臺观旧,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,氣冥海嶽深,气冥海岳深,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,圓荷想自昔,圆荷想自昔,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,遺堞感至今,遗堞感至今,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,芳宴此時具,芳宴此时具,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,哀絲千古心,哀丝千古心,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,主稱壽尊客,主称寿尊客,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,筵秩宴北林,筵秩宴北林,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,不阻蓬蓽興,不阻蓬荜兴,5언장편,5
同李太守 登歷下古城員外新亭 ,제1수,得兼梁甫吟,得兼梁甫吟,5언장편,5
暫如臨邑 至鵲山湖亭 奉懷李員外 率爾成興 ,제1수,野亭逼湖水,野亭逼湖水,5언율시,5
暫如臨邑 至鵲山湖亭 奉懷李員外 率爾成興 ,제1수,歇馬高林間,歇马高林间,5언율시,5
暫如臨邑 至鵲山湖亭 奉懷李員外 率爾成興 ,제1수,鼉吼風奔浪,鼍吼风奔浪,5언율시,5
暫如臨邑 至鵲山湖亭 奉懷李員外 率爾成興 ,제1수,魚跳日映山,鱼跳日映山,5언율시,5
暫如臨邑 至鵲山湖亭 奉懷李員外 率爾成興 ,제1수,暫遊阻詞伯,暂游阻词伯,5언율시,5
暫如臨邑 至鵲山湖亭 奉懷李員外 率爾成興 ,제1수,却望懷靑關,却望怀靑关,5언율시,5
暫如臨邑 至鵲山湖亭 奉懷李員外 率爾成興 ,제1수,靄靄生雲霧,霭霭生云雾,5언율시,5
暫如臨邑 至鵲山湖亭 奉懷李員外 率爾成興 ,제1수,惟應促駕還,惟应促驾还,5언율시,5
贈李白 ,제1수,秋來相顧尙飄蓬,秋來相顾尙飘蓬,7언절구,7
贈李白 ,제1수,未就丹砂愧葛洪,未就丹砂愧葛洪,7언절구,7
贈李白 ,제1수,痛飮狂歌空度日,痛飮狂歌空度日,7언절구,7
贈李白 ,제1수,飛揚跋扈爲誰雄,飞扬跋扈为谁雄,7언절구,7
與李十二白 同尋范十隱居 ,제1수,李侯有佳句,李侯有佳句,5언장편,5
與李十二白 同尋范十隱居 ,제1수,往往似陰鏗,往往似阴铿,5언장편,5
與李十二白 同尋范十隱居 ,제1수,余亦東蒙客,余亦东蒙客,5언장편,5
與李十二白 同尋范十隱居 ,제1수,憐君如弟兄,怜君如弟兄,5언장편,5
與李十二白 同尋范十隱居 ,제1수,醉眠秋共被,醉眠秋共被,5언장편,5
與李十二白 同尋范十隱居 ,제1수,攜手日同行,携手日同行,5언장편,5
與李十二白 同尋范十隱居 ,제1수,更想幽期處,更想幽期处,5언장편,5
與李十二白 同尋范十隱居 ,제1수,還尋北郭生,还寻北郭生,5언장편,5
與李十二白 同尋范十隱居 ,제1수,入門高興發,入门高兴发,5언장편,5
與李十二白 同尋范十隱居 ,제1수,侍立小童淸,侍立小童淸,5언장편,5
與李十二白 同尋范十隱居 ,제1수,落景聞寒杵,落景闻寒杵,5언장편,5
與李十二白 同尋范十隱居 ,제1수,屯雲對古城,屯云对古城,5언장편,5
與李十二白 同尋范十隱居 ,제1수,向來吟橘頌,向來吟橘颂,5언장편,5
與李十二白 同尋范十隱居 ,제1수,誰與討蓴羹,谁与讨莼羹,5언장편,5
與李十二白 同尋范十隱居 ,제1수,不願論簪笏,不愿論簪笏,5언장편,5
與李十二白 同尋范十隱居 ,제1수,悠悠滄海情,悠悠沧海情,5언장편,5
鄭駙馬宅宴洞中 ,제1수,主家陰洞細煙霧,主家阴洞细烟雾,7언율시,7
鄭駙馬宅宴洞中 ,제1수,留客夏簟靑琅玕,留客夏簟靑琅玕,7언율시,7
鄭駙馬宅宴洞中 ,제1수,春酒盃濃琥珀薄,春酒盃浓琥珀薄,7언율시,7
鄭駙馬宅宴洞中 ,제1수,冰漿椀碧瑪瑙寒,冰浆椀碧玛瑙寒,7언율시,7
鄭駙馬宅宴洞中 ,제1수,悞疑茅堂過江麓,悞疑茅堂过江麓,7언율시,7
鄭駙馬宅宴洞中 ,제1수,已入風磴霾雲端,已入风磴霾云端,7언율시,7
鄭駙馬宅宴洞中 ,제1수,自是秦樓壓鄭谷,自是秦樓压郑谷,7언율시,7
鄭駙馬宅宴洞中 ,제1수,時聞雜佩聲珊珊,时闻杂佩声珊珊,7언율시,7
冬日有懷李白 ,제1수,寂寞書齋裏,寂寞书斋里,5언율시,5
冬日有懷李白 ,제1수,終朝獨爾思,终朝独尔思,5언율시,5
冬日有懷李白 ,제1수,更尋嘉樹傳,更寻嘉树传,5언율시,5
冬日有懷李白 ,제1수,不忘角弓詩,不忘角弓诗,5언율시,5
冬日有懷李白 ,제1수,短褐風霜入,短褐风霜入,5언율시,5
冬日有懷李白 ,제1수,還丹日月遲,还丹日月迟,5언율시,5
冬日有懷李白 ,제1수,未因乘興去,未因乘兴去,5언율시,5
冬日有懷李白 ,제1수,空有鹿門期,空有鹿门期,5언율시,5
春日憶李白 ,제1수,白也詩無敵,白也诗无敌,5언율시,5
春日憶李白 ,제1수,飄然思不羣,飘然思不羣,5언율시,5
春日憶李白 ,제1수,淸新庾開府,淸新庾开府,5언율시,5
春日憶李白 ,제1수,俊逸鮑參軍,俊逸鲍參军,5언율시,5
春日憶李白 ,제1수,渭北春天樹,渭北春天树,5언율시,5
春日憶李白 ,제1수,江東日暮雲,江东日暮云,5언율시,5
春日憶李白 ,제1수,何時一樽酒,何时一樽酒,5언율시,5
春日憶李白 ,제1수,重與細論文,重与细論文,5언율시,5
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,巢父掉頭不肯住,巢父掉头不肯住,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,東將入海隨煙霧,东将入海随烟雾,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,詩卷長留天地間,诗卷长留天地间,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,釣竿欲拂珊瑚樹,钓竿欲拂珊瑚树,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,深山大澤龍蛇遠,深山大泽龙蛇远,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,春寒野陰風景暮,春寒野阴风景暮,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,蓬萊織女回雲車,蓬莱织女回云車,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,指點虛無引歸路,指点虚无引归路,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,自是君身有仙骨,自是君身有仙骨,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,世人那得知其故,世人那得知其故,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,惜君只欲苦死留,惜君只欲苦死留,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,富貴何如草頭露,富贵何如草头露,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,蔡侯靜者意有餘,蔡侯静者意有馀,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,淸夜置酒臨前除,淸夜置酒临前除,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,罷琴惆悵月照席,罢琴惆怅月照席,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,幾歲寄我空中書,几岁寄我空中书,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,南尋禹穴見李白,南寻禹穴见李白,7언장편,7
送孔巢父謝病歸 游空東 兼呈李白 ,제1수,道甫問訊今何如,道甫问讯今何如,7언장편,7
今夕行 ,제1수,今夕何夕歲云徂,今夕何夕岁云徂,7언장편,7
今夕行 ,제1수,更長燭明不可孤,更长烛明不可孤,7언장편,7
今夕行 ,제1수,咸陽客舍一事無,咸阳客舍一事无,7언장편,7
今夕行 ,제1수,相與博塞爲歡娛,相与博塞为欢娱,7언장편,7
今夕行 ,제1수,馮陵大叫呼五白,冯陵大叫唿五白,7언장편,7
今夕行 ,제1수,袒跣不肯成梟盧,袒跣不肯成枭盧,7언장편,7
今夕行 ,제1수,英雄有時亦如此,英雄有时亦如此,7언장편,7
今夕行 ,제1수,邂逅豈卽非良圖,邂逅豈卽非良图,7언장편,7
今夕行 ,제1수,家無儋石輸百萬,家无儋石输百万,7언장편,7
贈特進汝陽王二十韻 ,제1수,特進羣公表,特进羣公表,5언장편,5
贈特進汝陽王二十韻 ,제1수,天人夙得升,天人夙得升,5언장편,5
贈特進汝陽王二十韻 ,제1수,霜蹄千里駿,霜蹄千里骏,5언장편,5
贈特進汝陽王二十韻 ,제1수,風翮九霄鵬,风翮九霄鹏,5언장편,5
贈特進汝陽王二十韻 ,제1수,服禮求亳髮,服礼求亳髮,5언장편,5
贈特進汝陽王二十韻 ,제1수,惟忠忘寢興,惟忠忘寝兴,5언장편,5
贈特進汝陽王二十韻 ,제1수,聖情常有眷,圣情常有眷,5언장편,5
贈特進汝陽王二十韻 ,제1수,朝退若無憑,朝退若无凭,5언장편,5
贈特進汝陽王二十韻 ,제1수,仙醴來浮蟻,仙醴來浮蚁,5언장편,5
贈特進汝陽王二十韻 ,제1수,奇毛或賜鷹,奇毛或赐鹰,5언장편,5
贈特進汝陽王二十韻 ,제1수,淸關塵不雜,淸关尘不杂,5언장편,5
贈特進汝陽王二十韻 ,제1수,中使日相乘,中使日相乘,5언장편,5
贈特進汝陽王二十韻 ,제1수,晩節嬉遊簡,晩节嬉游简,5언장편,5
贈特進汝陽王二十韻 ,제1수,平居孝義稱,平居孝义称,5언장편,5
贈特進汝陽王二十韻 ,제1수,自多親棣萼,自多亲棣萼,5언장편,5
贈特進汝陽王二十韻 ,제1수,誰敢問山陵,谁敢问山陵,5언장편,5
贈特進汝陽王二十韻 ,제1수,學業醇儒富,学业醇儒富,5언장편,5
贈特進汝陽王二十韻 ,제1수,辭華哲匠能,辞华哲匠能,5언장편,5
贈特進汝陽王二十韻 ,제1수,筆飛鸞聳立,笔飞鸞耸立,5언장편,5
贈特進汝陽王二十韻 ,제1수,章罷鳳鶱騰,章罢凤鶱腾,5언장편,5
贈特進汝陽王二十韻 ,제1수,精理通談笑,精理通谈笑,5언장편,5
贈特進汝陽王二十韻 ,제1수,忘形向友朋,忘形向友朋,5언장편,5
贈特進汝陽王二十韻 ,제1수,寸長堪繾綣,寸长堪缱绻,5언장편,5
贈特進汝陽王二十韻 ,제1수,一諾豈驕矜,一诺豈骄矜,5언장편,5
贈特進汝陽王二十韻 ,제1수,已忝歸曹植,已忝归曹植,5언장편,5
贈特進汝陽王二十韻 ,제1수,何如對李膺,何如对李膺,5언장편,5
贈特進汝陽王二十韻 ,제1수,招要恩屢至,招要恩屢至,5언장편,5
贈特進汝陽王二十韻 ,제1수,崇重力難勝,崇重力难胜,5언장편,5
贈特進汝陽王二十韻 ,제1수,披霧初歡夕,披雾初欢夕,5언장편,5
贈特進汝陽王二十韻 ,제1수,高秋爽氣澄,高秋爽气澄,5언장편,5
